dates,number_of_marriage
2012-02-24,10
2014-02-24,9
2012-08-20,9
2014-07-13,14
2014-10-05,9
2011-03-08,14
2013-02-10,5
2014-07-26,6
2013-03-16,10
2012-10-28,11
2014-10-28,8
2012-10-23,8
2013-09-16,6
2013-04-16,11
2011-05-31,13
2014-08-06,12
2011-12-26,11
2011-03-03,12
2012-04-23,9
2014-10-25,9
2014-07-22,7
2013-10-08,7
2013-07-24,11
2014-12-22,9
2013-08-15,7
2013-10-31,10
2013-03-05,9
2013-05-17,10
2012-02-27,11
2011-08-03,8
2014-11-07,12
2014-08-10,9
2013-10-05,11
2014-03-07,13
2011-02-05,11
2012-11-28,8
2014-01-12,13
2011-11-12,13
2012-04-09,11
2011-12-05,10
2011-07-28,8
2012-08-28,14
2012-08-27,8
2012-06-22,16
2011-08-11,14
2011-07-22,9
2011-12-07,6
2012-11-11,15
2012-01-24,10
2014-06-06,13
2011-03-08,8
2012-10-07,7
2014-03-12,7
2011-06-27,11
2013-03-29,9
2011-10-29,14
2011-07-06,15
2014-01-04,11
2014-07-30,9
2012-06-30,10
2013-08-29,14
2011-05-19,9
2012-07-14,5
2012-02-05,7
2014-04-04,12
2012-10-16,11
2014-03-28,11
2014-04-01,11
2014-03-05,15
2012-10-04,11
2014-01-06,7
2013-07-07,10
2013-11-02,6
2011-01-01,13
2012-11-24,13
2011-11-18,15
2012-07-08,10
2013-06-13,8
2012-05-28,10
2011-06-12,17
2011-12-22,16
2013-09-02,5
2012-09-01,6
2014-02-24,11
2011-05-31,5
2012-09-26,12
2014-12-09,16
2014-07-27,5
2014-07-18,2
2011-09-13,11
2011-07-10,6
2013-08-11,9
2012-05-16,9
2013-08-16,4
2012-04-12,13
2011-10-02,8
2014-02-16,13
2011-05-17,6
2012-11-12,14
2013-01-16,12
